Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K)
206.0,65,100,60,0.0,0.0,34.908,6.3046,250,0.9,0.91096,13.731,27.755,6.5249,297.9
147.0,75,100,90,0.0,43.59,18.777,3.3732,100,1.0,0.0009234,11.603,23.128,6.4985,297.97
157.2,75,100,90,0.0,65.77,53.293,7.0636,0,0.9,0.00072122,11.329,23.708,6.4901,297.99
39.2,55,100,47,0.0,39.926,200.46,0.0001,0,0.9,0.0025861,10.576,2.3691,6.4985,298.06
153.2,75,100,90,0.0,106.7,99.382,0.0001,0,0.9,0.0014749,9.489,22.796,6.4973,298.03
78.2,60,100,116,0.0,139.23,455.27,0.0001,100,1.1,0.0024757,13.09,10.717,6.4984,298.14
96.2,75,100,90,0.0,57.571,24.769,0.0001,100,1.1,0.0010142,12.419,12.629,6.4943,297.98
222.4,65,100,120,0.0,9.6738,98.314,14.147,250,0.9,3.6553,13.962,27.579,6.5163,297.96
179.6,75,100,80,0.0,77.875,20.203,0.63944,150,0.9,0.0015417,12.081,24.761,6.4947,297.91
58.0,60,100,72,0.0,76.968,32.773,0.0001,500,1.1,0.0019323,13.653,6.0741,6.5101,297.96
161.4,75,100,80,0.0,50.488,14.985,119.25,400,0.9,0.00074885,11.18,23.261,6.5039,298.13
9.0,42,100,15,0.0,30.394,111.61,0.0001,0,0.6,2.189,13.306,0.00097598,6.4924,298.12
38.8,55,100,47,0.0,64.336,59.058,210.93,0,0.9,0.0022517,11.596,2.1896,6.5041,298.7
217.8,65,100,80,0.0,53.166,6.5435,73.641,250,0.9,0.0014665,11.03,32.041,6.5119,298.0
172.0,75,100,80,3.6301,0.0,15.546,127.55,150,0.9,1.623,13.053,23.348,6.6664,298.16
17.6,42,100,75,0.0,85.325,157.06,0.0001,0,0.7,0.019137,11.912,0.00094849,6.5057,298.12
49.8,60,100,61,0.0,59.185,216.01,13.256,0,1.1,0.0020231,11.264,4.4158,6.5057,298.35
41.0,60,100,51,0.0,68.261,270.67,0.0001,0,1.1,0.0029116,12.667,1.822,6.5088,298.1
190.4,75,100,45,0.0,15.968,19.629,154.65,150,0.9,0.00088036,11.399,25.561,6.5392,298.23
81.2,60,100,90,0.0,69.885,245.54,2.1778,100,1.1,0.0011679,13.674,11.486,6.5198,298.35
126.8,75,100,90,0.0,55.517,3.0943,45.331,100,1.0,0.00056353,11.839,17.958,6.5089,297.99
20.0,42,100,75,0.0,59.542,580.07,3.8438,0,0.7,0.012717,11.185,0.00093387,6.4796,298.82
179.2,75,100,60,0.0,53.977,62.058,8.7805,150,0.9,0.0009064,11.41,24.418,6.5031,297.91
164.4,75,100,80,0.0,65.736,30.78,7.2116,400,0.9,0.0009001,12.064,25.007,6.4994,297.89
196.2,75,100,80,0.0,46.591,31.0,6.8291,150,0.9,0.00129,12.627,27.59,6.5318,297.89
43.8,60,100,51,0.0,77.996,124.65,0.0001,0,1.1,0.0019289,12.494,3.5168,6.4958,298.02
133.4,75,100,90,0.0,62.07,9.408,96.238,100,1.0,0.0020459,12.715,18.222,6.5254,298.05
